Modelo,Precision,
MT_RKHS_MP,0.71338,35
MT_RKHS_MP,0.72463,36
MT_RKHS_MP,0.57914,37
MT_RKHS_MP,0.66093,38
MT_RKHS_MP,0.63863,39
MT_RKHS_MP,0.71225,40
MT_RKHS_MP,0.69733,41
MT_RKHS_MP,0.67315,42
MT_RKHS_MP,0.70976,43
MT_RKHS_MP,0.59313,44
MT_RKHS_MP,0.63959,45
MT_RKHS_MP,0.70952,46
MT_RKHS_MP,0.70588,47
MT_RKHS_MP,0.70847,48
MT_RKHS_MP,0.65865,49
MT_RKHS_MP,0.69686,50
MT_RKHS_M,0.62187,51
MT_RKHS_M,0.68813,52
MT_RKHS_M,0.6893,53
MT_RKHS_M,0.62425,54
MT_RKHS_M,0.66087,55
MT_RKHS_M,0.7124,56
MT_RKHS_M,0.64653,57
MT_RKHS_M,0.62547,58
MT_RKHS_M,0.78404,59
MT_RKHS_M,0.68808,60
MT_RKHS_M,0.64286,61
MT_RKHS_M,0.64546,62
MT_RKHS_M,0.71822,63
MT_RKHS_M,0.74417,64
MT_RKHS_M,0.54396,65
MT_RKHS_M,0.62298,66
MT_RKHS_M,0.74664,67
MT_RKHS_M,0.6403,68
MT_RKHS_M,0.66223,69
MT_RKHS_M,0.59185,70
MT_RKHS_M,0.66576,71
MT_RKHS_M,0.59577,72
MT_RKHS_M,0.68106,73
MT_RKHS_M,0.66452,74
MT_RKHS_M,0.68576,75
MT_RKHS_M,0.6802,76
MT_RKHS_M,0.6626,77
MT_RKHS_M,0.59669,78
MT_RKHS_M,0.57956,79
MT_RKHS_M,0.64794,80
MT_RKHS_M,0.65639,81
MT_RKHS_M,0.5893,82
MT_RKHS_M,0.63679,83
MT_RKHS_M,0.53671,84
MT_RKHS_M,0.7232,85
MT_RKHS_M,0.71769,86
MT_RKHS_M,0.58359,87
MT_RKHS_M,0.65033,88
MT_RKHS_M,0.63724,89
MT_RKHS_M,0.69521,90
MT_RKHS_M,0.6957,91
MT_RKHS_M,0.66111,92
MT_RKHS_M,0.69958,93
MT_RKHS_M,0.58092,94
MT_RKHS_M,0.63243,95
MT_RKHS_M,0.70722,96
MT_RKHS_M,0.68733,97
MT_RKHS_M,0.72018,98
MT_RKHS_M,0.65671,99
MT_RKHS_M,0.70357,100
